Month,Year,Age_Group,Sex,Region,Console,Units_Sold,Revenue_USD
March,2023,18-24,Male,North America,PlayStation 5,12450,746998.50
March,2023,18-24,Female,North America,PlayStation 5,9870,592020.30
March,2023,25-34,Male,North America,Xbox Series X,8340,500394.00
March,2023,25-34,Female,North America,Xbox Series X,6120,367192.80
March,2023,35-44,Male,North America,Nintendo Switch,4210,252561.90
March,2023,35-44,Female,North America,Nintendo Switch,3780,226878.00
March,2023,45-54,Male,North America,PC,2150,128935.50
March,2023,45-54,Female,North America,PC,1640,98394.40
March,2023,55+,Male,North America,PlayStation 5,890,53395.10
March,2023,55+,Female,North America,PlayStation 5,670,40193.30
March,2023,18-24,Male,Europe,PlayStation 5,10980,659119.80
March,2023,18-24,Female,Europe,PlayStation 5,8450,507065.50
March,2023,25-34,Male,Europe,Xbox Series X,7630,457879.70
March,2023,25-34,Female,Europe,Xbox Series X,5890,353471.10
March,2023,35-44,Male,Europe,Nintendo Switch,3920,235242.00
March,2023,35-44,Female,Europe,Nintendo Switch,3340,200439.60
March,2023,45-54,Male,Europe,PC,1980,118799.40
March,2023,45-54,Female,Europe,PC,1520,91199.20
March,2023,55+,Male,Europe,PlayStation 5,740,44399.60
March,2023,55+,Female,Europe,PlayStation 5,560,33599.60
March,2023,18-24,Male,Asia Pacific,PlayStation 5,14320,859239.80
March,2023,18-24,Female,Asia Pacific,PlayStation 5,11200,672160.00
March,2023,25-34,Male,Asia Pacific,Nintendo Switch,9870,592120.30
March,2023,25-34,Female,Asia Pacific,Nintendo Switch,7650,459166.50
March,2023,35-44,Male,Asia Pacific,PC,5430,325899.70
March,2023,35-44,Female,Asia Pacific,PC,4120,247239.60
March,2023,45-54,Male,Asia Pacific,Xbox Series X,2340,140399.40
March,2023,45-54,Female,Asia Pacific,Xbox Series X,1870,112219.70
March,2023,55+,Male,Asia Pacific,PlayStation 5,980,58799.80
March,2023,55+,Female,Asia Pacific,PlayStation 5,760,45599.60
March,2023,18-24,Male,Latin America,Nintendo Switch,5670,340219.30
March,2023,18-24,Female,Latin America,Nintendo Switch,4320,259238.40
March,2023,25-34,Male,Latin America,PlayStation 5,3980,238879.80
March,2023,25-34,Female,Latin America,PlayStation 5,3120,187199.20
March,2023,35-44,Male,Latin America,PC,1870,112219.70
March,2023,35-44,Female,Latin America,PC,1450,87005.50
March,2023,45-54,Male,Latin America,Xbox Series X,890,53395.10
March,2023,45-54,Female,Latin America,Xbox Series X,670,40193.30
March,2023,55+,Male,Latin America,Nintendo Switch,340,20399.60
March,2023,55+,Female,Latin America,Nintendo Switch,270,16199.70
April,2023,18-24,Male,North America,PlayStation 5,9870,592120.30
April,2023,18-24,Female,North America,PlayStation 5,7650,459166.50
April,2023,25-34,Male,North America,Xbox Series X,6780,406799.40
April,2023,25-34,Female,North America,Xbox Series X,5120,307199.20
April,2023,35-44,Male,North America,Nintendo Switch,3450,207005.50
April,2023,35-44,Female,North America,Nintendo Switch,2980,178799.80
April,2023,45-54,Male,North America,PC,1870,112219.70
April,2023,45-54,Female,North America,PC,1340,80399.60
April,2023,55+,Male,North America,PlayStation 5,720,43199.80
April,2023,55+,Female,North America,PlayStation 5,540,32399.60
April,2023,18-24,Male,Europe,PlayStation 5,8760,525599.60
April,2023,18-24,Female,Europe,PlayStation 5,6890,413399.10
April,2023,25-34,Male,Europe,Xbox Series X,6120,367199.80
April,2023,25-34,Female,Europe,Xbox Series X,4780,286799.80
April,2023,35-44,Male,Europe,Nintendo Switch,3210,192599.10
April,2023,35-44,Female,Europe,Nintendo Switch,2650,158999.50
April,2023,45-54,Male,Europe,PC,1650,98999.50
April,2023,45-54,Female,Europe,PC,1280,76799.20
April,2023,55+,Male,Europe,PlayStation 5,610,36599.10
April,2023,55+,Female,Europe,PlayStation 5,460,27599.60
April,2023,18-24,Male,Asia Pacific,PlayStation 5,11230,673799.70
April,2023,18-24,Female,Asia Pacific,PlayStation 5,8970,538199.70
April,2023,25-34,Male,Asia Pacific,Nintendo Switch,7890,473399.10
April,2023,25-34,Female,Asia Pacific,Nintendo Switch,6120,367199.80
April,2023,35-44,Male,Asia Pacific,PC,4320,259199.80
April,2023,35-44,Female,Asia Pacific,PC,3450,207005.50
April,2023,45-54,Male,Asia Pacific,Xbox Series X,1980,118799.40
April,2023,45-54,Female,Asia Pacific,Xbox Series X,1540,92399.60
April,2023,55+,Male,Asia Pacific,PlayStation 5,820,49199.80
